"standardized_alpha","quantity","standardized_error"
1.72667589800663,"Delta",2.25713277765636
1.20481563383982,"Delta",1.36522454948834
-0.516860260132896,"Delta",-0.438930586882925
0.757137021615196,"Delta",0.478818709415809
0.459739182461866,"Delta",0.345042498311037
0.576448567351156,"Delta",0.540724069512922
-1.50044572331586,"Delta",-1.10973095214078
0.379799441985835,"Delta",0.0429912821325315
0.7886854398774,"Delta",0.983939368104618
1.15581350126895,"Delta",1.53715455939189
-1.83098578180959,"Delta",-1.26077810250539
1.42841832567459,"Delta",1.19374937202866
0.995677412337722,"Delta",0.860475920518352
0.299650990857483,"Delta",-0.183818945377277
0.345858865804745,"Delta",0.371374222889309
0.118119137810273,"Delta",-0.251753636322932
-1.11972145557194,"Delta",-0.986092388274059
1.4153256347736,"Delta",2.04347847872163
-0.562631683655206,"Delta",-0.813655393771707
1.27341208763121,"Delta",1.01506116557984
0.147450649514856,"Delta",0.191135124217902
-1.18886085667267,"Delta",-1.08210995782878
1.12650466451115,"Delta",0.943021289579956
1.67845666382676,"Delta",2.39575743144692
1.66634911158928,"Delta",1.84161983247236
-0.0429176372538105,"Delta",-0.111120737227897
-0.906774312904057,"Delta",-0.982655962754571
0.348859105042546,"Delta",-0.082291916576025
-0.34545731787651,"Delta",-0.254502867203354
1.13670993033398,"Delta",1.40506302386756
-0.44515117840375,"Delta",-0.764973828322109
-0.938250965626533,"Delta",-0.94458790971278
-0.0317175045023226,"Delta",-0.513257057591302
0.579625974858359,"Delta",0.397199968682957
-1.31620002558007,"Delta",-1.08277370314982
0.621856335916364,"Delta",0.177280275214097
-0.394377061795975,"Delta",-0.675231863215762
0.0701888579214047,"Delta",-0.0725497877168424
0.277878291176351,"Delta",-0.279101693521652
0.00991066349398961,"Delta",-0.500683084331408
0.137659581137418,"Delta",0.401609510787055
-0.304236570593131,"Delta",-0.144185754990798
0.380759882696116,"Delta",0.054163917331621
-0.545855434244206,"Delta",-0.416563888761246
-1.85911870152352,"Delta",-1.19677024875582
0.933939535524498,"Delta",1.1573494787064
-1.00806315225787,"Delta",-0.820807412034755
-0.325374606368251,"Delta",-0.184998286336952
1.05277171423454,"Delta",0.806054864122781
-1.04855283534649,"Delta",-0.97154411726073
-2.2264081098082,"Delta",-1.38520259320387
0.745222798740508,"Delta",-0.106750937155955
-0.885970297172784,"Delta",-0.734111904420834
0.574624369458403,"Delta",-0.0174351648584283
0.432464973869866,"Delta",0.273857162226902
1.70470317334583,"Delta",2.18983694703763
0.422518260863796,"Delta",0.367222827969549
-1.01238370438524,"Delta",-0.624376626904714
1.1911804941766,"Delta",1.51436302924428
-0.493419075764764,"Delta",-0.862196999974689
-0.520299804712529,"Delta",-0.864523974711589
-0.717340369750179,"Delta",-0.823357410326146
0.0849925480363884,"Delta",-0.300062676584174
-0.0978928411568271,"Delta",-0.0891757003547986
